feature,importance_mean,importance_std
worst concave points,0.026041666666666668,0.01473139127471974
worst area,0.010416666666666666,0.013581671677505519
worst perimeter,0.0010416666666666667,0.012058163440406486
worst radius,0.0010416666666666667,0.012058163440406486
mean radius,0.0,0.0
mean texture,0.0,0.0
mean concavity,0.0,0.0
mean concave points,0.0,0.0
mean symmetry,0.0,0.0
mean fractal dimension,0.0,0.0
mean perimeter,0.0,0.0
mean area,0.0,0.0
mean smoothness,0.0,0.0
mean compactness,0.0,0.0
area error,0.0,0.0
perimeter error,0.0,0.0
texture error,0.0,0.0
radius error,0.0,0.0
concave points error,0.0,0.0
smoothness error,0.0,0.0
concavity error,0.0,0.0
compactness error,0.0,0.0
worst texture,0.0,0.0
fractal dimension error,0.0,0.0
symmetry error,0.0,0.0
worst smoothness,0.0,0.0
worst compactness,0.0,0.0
worst concavity,0.0,0.0
worst symmetry,0.0,0.0
worst fractal dimension,0.0,0.0
