feature,importance_mean,importance_std
worst texture,0.022612085769980528,0.0092751479558443
radius error,0.019883040935672548,0.006684767329232859
area error,0.017543859649122823,0.007082223050520454
perimeter error,0.014035087719298274,0.005568365246427168
mean texture,0.013645224171539993,0.010388235941110513
worst smoothness,0.010136452241715421,0.008665150398008914
mean concave points,0.00818713450292401,0.007335238878061117
worst concavity,0.007797270955165721,0.0075998396450752135
mean concavity,0.007407407407407441,0.006908399667317502
worst concave points,0.007407407407407433,0.00783616032835938
mean area,0.005068226120857718,0.009754382848496534
worst radius,0.004678362573099452,0.009109802296723531
worst area,0.0042884990253411635,0.007539602185502436
mean radius,0.0038986354775828753,0.008177846769357903
mean fractal dimension,0.0035087719298245944,0.004162603607029759
mean perimeter,0.003508771929824587,0.007017543859649131
worst perimeter,0.0031189083820663136,0.01064834330116776
smoothness error,0.0011695906432748796,0.004869394150797986
concavity error,-0.00038986354775825125,0.004512996843193068
mean compactness,-0.0003898635477582809,0.001458735823303667
fractal dimension error,-0.0015594541910331087,0.0049926894638852625
mean smoothness,-0.001949317738791397,0.004612927706120555
worst symmetry,-0.001949317738791397,0.006286360817386781
mean symmetry,-0.0023391812865496777,0.004678362573099411
concave points error,-0.0023391812865496925,0.003573158436612726
compactness error,-0.0023391812865496925,0.005568365246427179
worst compactness,-0.003118908382066262,0.004198958913945022
symmetry error,-0.004288499025341119,0.004992689463885259
worst fractal dimension,-0.004678362573099385,0.0038198670452759013
texture error,-0.005847953216374236,0.007082223050520448
