feature,importance_mean,importance_std
worst texture,0.0375,0.01875
worst concave points,0.03333333333333333,0.014950729265007626
worst smoothness,0.03125,0.01613743060919757
worst concavity,0.030208333333333334,0.014508737788733458
mean texture,0.029166666666666667,0.01698906919822926
radius error,0.022916666666666665,0.00966001926614136
mean concavity,0.020833333333333332,0.013581671677505517
perimeter error,0.020833333333333332,0.009316949906249122
mean concave points,0.019791666666666666,0.015590239111558091
worst radius,0.01875,0.017305466381079323
area error,0.01875,0.008462540004829126
worst perimeter,0.016666666666666666,0.018458380361113906
mean radius,0.014583333333333334,0.014508737788733458
mean perimeter,0.013541666666666667,0.013819269959814164
mean fractal dimension,0.011458333333333333,0.008960755486502738
mean area,0.011458333333333333,0.015590239111558091
worst area,0.011458333333333333,0.013339842161318437
worst symmetry,0.011458333333333333,0.013339842161318435
smoothness error,0.007291666666666667,0.00966001926614136
compactness error,0.0020833333333333333,0.00966001926614136
concavity error,-0.0010416666666666667,0.012058163440406486
mean compactness,-0.0010416666666666667,0.003897559777889523
fractal dimension error,-0.0010416666666666667,0.01062295731998497
mean smoothness,-0.003125,0.011692679333668568
mean symmetry,-0.003125,0.010206207261596576
symmetry error,-0.004166666666666667,0.006909634979907084
worst compactness,-0.004166666666666667,0.006909634979907084
concave points error,-0.004166666666666667,0.006909634979907084
texture error,-0.005208333333333333,0.010925092168439078
worst fractal dimension,-0.008333333333333333,0.007795119555779045
