stage,source,filename,true,pred,confidence,correct
after,handwritten,hand_4.png,4,4,0.9286565184593201,1
after,handwritten,hand_3.png,3,4,0.7593107223510742,0
after,paint,4_mnsit.png,4,4,0.18461105227470398,1
after,paint,9_mnsit.png,9,9,0.14006711542606354,1
after,paint,5_mnsit.png,5,5,0.1998165249824524,1
after,handwritten,hand_5.png,5,2,0.8048628568649292,0
after,handwritten,hand_8.png,8,1,0.5591256618499756,0
after,paint,6_mnsit.png,6,6,0.21982534229755402,1
after,handwritten,hand_2.png,2,1,0.9852572083473206,0
after,handwritten,hand_6.png,6,1,0.9986691474914551,0
after,handwritten,hand_0.png,0,7,0.7342011332511902,0
after,paint,1_mnsit.png,1,1,0.15329702198505402,1
after,handwritten,hand_1.png,1,1,0.9951211810112,1
after,paint,2_mnsit.png,2,2,0.15861105918884277,1
after,handwritten,hand_9.png,9,3,0.590843141078949,0
after,paint,7_mnsit.png,7,7,0.14844219386577606,1
after,paint,8_mnsit.png,8,7,0.12778382003307343,0
after,paint,0_mnsit.png,0,0,0.15259625017642975,1
after,paint,3_mnsit.png,3,3,0.2419697493314743,1
