stage,source,filename,true,pred,confidence,correct,status,error
before,paint,0_mnsit.png,0,0.0,0.15079914033412933,1.0,ok,
before,paint,1_mnsit.png,1,1.0,0.15792565047740936,1.0,ok,
before,paint,2_mnsit.png,2,1.0,0.1564631462097168,0.0,ok,
before,paint,3_mnsit.png,3,3.0,0.24193286895751953,1.0,ok,
before,paint,4_mnsit.png,4,4.0,0.18379618227481842,1.0,ok,
before,paint,5_mnsit.png,5,5.0,0.195454940199852,1.0,ok,
before,paint,6_mnsit.png,6,6.0,0.20788978040218353,1.0,ok,
before,paint,7_mnsit.png,7,7.0,0.15390408039093018,1.0,ok,
before,paint,8_mnsit.png,8,7.0,0.13285653293132782,0.0,ok,
before,paint,9_mnsit.png,9,9.0,0.1369178742170334,1.0,ok,
before,handwritten,hand_0.png,0,7.0,0.8022705316543579,0.0,ok,
before,handwritten,hand_1.png,1,1.0,0.9964543581008911,1.0,ok,
before,handwritten,hand_2.png,2,1.0,0.9903087019920349,0.0,ok,
before,handwritten,hand_3.png,3,4.0,0.7682060599327087,0.0,ok,
before,handwritten,hand_4.png,4,4.0,0.8560991287231445,1.0,ok,
before,handwritten,hand_5.png,5,2.0,0.8287856578826904,0.0,ok,
before,handwritten,hand_6.png,6,1.0,0.9997158646583557,0.0,ok,
before,handwritten,hand_7.png,7,,,,prep_fail,No valid digit contour found. Image may be too messy or too faint.
before,handwritten,hand_8.png,8,1.0,0.6203944087028503,0.0,ok,
before,handwritten,hand_9.png,9,3.0,0.6234750747680664,0.0,ok,
